candidate_id,rank,score,reasoning
CAND_0062247,22,0.81511,"7.3yr AI Engineer at Google; matched: Pinecone, Qdrant, RAG; based in Kochi, Kerala; open to work; open to work, notice: 30d; title: AI Engineer"
CAND_0069905,23,0.81073,"6.6yr Applied ML Engineer at Sarvam AI; matched: LoRA, Sentence Transformers, LangChain; based in Bhubaneswar, Odisha; open to work; open to work; title: Applied ML Engineer"
CAND_0005649,24,0.80879,"7.4yr Senior Data Scientist at Sarvam AI; matched: Fine-tuning LLMs, QLoRA, Semantic Search; based in Delhi, Delhi; open to work; open to work; title: Senior Data Scientist"
CAND_0068811,25,0.80732,"8.0yr Applied ML Engineer at Freshworks; matched: Qdrant, Embeddings, Pinecone; based in Pune, Maharashtra; open to work; open to work, notice: 30d; title: Applied ML Engineer"
CAND_0033861,26,0.80635,"8.0yr Senior NLP Engineer at Mad Street Den; matched: Weaviate, LoRA, LLMs; based in Vizag, Andhra Pradesh; notice: 30d; title: Senior NLP Engineer"
CAND_0004402,27,0.806,"6.0yr AI Research Engineer at Yellow.ai; matched: OpenSearch, PEFT, PyTorch; based in Delhi, Delhi; open to work; open to work; title: AI Research Engineer"
CAND_0007009,28,0.80268,"7.9yr Recommendation Systems Engineer at Wysa; matched: Weaviate, Python, Embeddings; based in Noida, Uttar Pradesh; open to work; open to work, notice: 30d"
CAND_0086022,29,0.80212,"5.3yr Senior Applied Scientist at Sarvam AI; matched: Fine-tuning LLMs, Elasticsearch, QLoRA; based in Kolkata, West Bengal; open to work; open to work, notice: 0d; title: Senior Applied Scientist"
CAND_0032216,30,0.8012,"6.1yr ML Engineer at upGrad; matched: Learning to Rank, Information Retrieval, PyTorch; based in Chennai, Tamil Nadu; open to work; open to work, notice: 30d; title: ML Engineer"
CAND_0043860,31,0.80063,"6.1yr Junior ML Engineer at Aganitha; matched: Semantic Search, Information Retrieval, Qdrant; based in Bhubaneswar, Odisha; open to work; open to work, notice: 30d; title: Junior ML Engineer"
CAND_0008425,32,0.7989,"7.8yr Senior NLP Engineer at Ola; matched: Learning to Rank, Qdrant, Sentence Transformers; based in Kolkata, West Bengal; open to work; open to work; title: Senior NLP Engineer"
CAND_0011162,33,0.79625,"5.8yr Recommendation Systems Engineer at upGrad; matched: FAISS, LangChain, LoRA; based in Coimbatore, Tamil Nadu; open to work; open to work"
CAND_0041669,34,0.79579,"8.0yr Recommendation Systems Engineer at CRED; matched: FAISS, Milvus, PEFT; based in Noida, Uttar Pradesh; open to work; open to work"
CAND_0096172,35,0.78909,"5.2yr NLP Engineer at Krutrim; matched: OpenSearch, Elasticsearch, Semantic Search; based in Chennai, Tamil Nadu; title: NLP Engineer"
CAND_0079387,36,0.78785,"6.9yr AI Engineer at Microsoft; matched: Python, Sentence Transformers, OpenSearch; based in Trivandrum, Kerala; open to work; open to work, notice: 30d; title: AI Engineer"
CAND_0045250,37,0.78665,"6.6yr Applied ML Engineer at Rephrase.ai; matched: Sentence Transformers, Milvus, LoRA; based in Delhi, Delhi; notice: 15d; title: Applied ML Engineer"
CAND_0050454,38,0.78013,"6.8yr AI Engineer at Rephrase.ai; matched: PyTorch, LangChain, QLoRA; based in Delhi, Delhi; open to work; open to work, notice: 30d; title: AI Engineer"
CAND_0044855,39,0.77985,"6.6yr Senior Data Scientist at Flipkart; matched: Learning to Rank, Hugging Face Transformers, OpenSearch; based in Coimbatore, Tamil Nadu; title: Senior Data Scientist"
CAND_0050876,40,0.77361,"6.0yr Applied ML Engineer at Freshworks; matched: Qdrant, MLOps, FAISS; based in Kolkata, West Bengal; open to work; open to work; title: Applied ML Engineer"
CAND_0039754,41,0.77323,"16.2yr Senior Applied Scientist at Meta; matched: Fine-tuning LLMs, Qdrant, NLP; based in Indore, Madhya Pradesh; open to work; open to work, notice: 30d; title: Senior Applied Scientist"
CAND_0055905,42,0.77292,"8.1yr Senior Machine Learning Engineer at Flipkart; matched: Elasticsearch, Hugging Face Transformers, LangChain; based in London; open to work; open to work, notice: 30d; title: Senior Machine Learning Engineer"
CAND_0005260,43,0.7704,"5.2yr Senior NLP Engineer at Netflix; matched: MLOps, Information Retrieval, Semantic Search; based in Chennai, Tamil Nadu; title: Senior NLP Engineer"
CAND_0095528,44,0.77026,"5.3yr Senior Data Scientist at Netflix; matched: OpenSearch, PyTorch, Semantic Search; based in Indore, Madhya Pradesh; open to work; open to work; title: Senior Data Scientist"
CAND_0096142,45,0.76907,"5.0yr Applied ML Engineer at upGrad; matched: LoRA, Weaviate, Pinecone; based in Hyderabad, Telangana; open to work; open to work, long notice: 120d; title: Applied ML Engineer"
CAND_0060835,46,0.76791,"6.6yr Senior Software Engineer (ML) at Sarvam AI; matched: PyTorch, FAISS, Weaviate; based in Bangalore, Karnataka; open to work; open to work; title: Senior Software Engineer (ML)"
CAND_0006557,47,0.76711,"7.9yr NLP Engineer at Paytm; matched: Elasticsearch, OpenSearch, Weaviate; based in Jaipur, Rajasthan; open to work; open to work, long notice: 120d; title: NLP Engineer"
CAND_0070398,48,0.76451,"7.2yr Machine Learning Engineer at Genpact AI; matched: RAG, FAISS, Embeddings; based in Kochi, Kerala; open to work; open to work, long notice: 120d; title: Machine Learning Engineer"
CAND_0081053,49,0.76202,"5.4yr NLP Engineer at Glance; matched: LoRA, QLoRA, Qdrant; based in Chandigarh, Chandigarh; open to work; open to work; title: NLP Engineer"
CAND_0071939,50,0.75893,"6.4yr Data Scientist at Krutrim; matched: Elasticsearch, OpenSearch, Embeddings; based in Pune, Maharashtra; open to work; open to work, notice: 30d; title: Data Scientist"
CAND_0016659,51,0.75424,"4.4yr ML Engineer at Glance; matched: Sentence Transformers, Pinecone, PEFT; based in Coimbatore, Tamil Nadu; open to work; open to work; title: ML Engineer"
CAND_0072688,52,0.75375,"6.9yr Data Scientist at Niramai; matched: Milvus, LoRA, Semantic Search; based in Pune, Maharashtra; open to work; open to work; title: Data Scientist"
CAND_0068932,53,0.75373,"5.2yr ML Engineer at Krutrim; matched: MLOps, Milvus, RAG; based in Noida, Uttar Pradesh; open to work; open to work, notice: 30d; title: ML Engineer"
CAND_0065514,54,0.75077,"6.6yr ML Engineer at Genpact AI; matched: LangChain, Pinecone, Elasticsearch; based in Pune, Maharashtra; open to work; open to work; title: ML Engineer"
CAND_0062413,55,0.7496,"6.6yr AI Research Engineer at upGrad; matched: Learning to Rank, Semantic Search, OpenSearch; based in Mumbai, Maharashtra; open to work; open to work; title: AI Research Engineer"
CAND_0092255,56,0.74951,"5.2yr ML Engineer at InMobi; matched: PyTorch, Weaviate, Semantic Search; based in Noida, Uttar Pradesh; open to work; open to work; title: ML Engineer"
CAND_0010149,57,0.74804,"6.9yr ML Engineer at Glance; matched: Milvus, Learning to Rank, PEFT; based in Bangalore, Karnataka; open to work; open to work; title: ML Engineer"
CAND_0082086,58,0.7468,"6.0yr Senior Software Engineer (ML) at Razorpay; matched: FAISS, Pinecone, PyTorch; based in Delhi, Delhi; open to work; open to work; title: Senior Software Engineer (ML)"
CAND_0037160,59,0.74654,"6.0yr Data Scientist at Haptik; matched: LLMs, Weaviate, Hugging Face Transformers; based in Mumbai, Maharashtra; open to work; open to work, notice: 30d; title: Data Scientist"
CAND_0011327,60,0.7461,"6.3yr AI Research Engineer at Krutrim; matched: Sentence Transformers, Semantic Search, OpenSearch; based in Gurgaon, Haryana; open to work; open to work; title: AI Research Engineer"
CAND_0043228,61,0.74038,"6.8yr Applied ML Engineer at Zoho; matched: NLP, Hugging Face Transformers, Sentence Transformers; based in Chennai, Tamil Nadu; notice: 30d; title: Applied ML Engineer"
CAND_0053605,62,0.73967,"6.9yr Senior Software Engineer (ML) at Verloop.io; matched: LangChain, Semantic Search, RAG; based in Noida, Uttar Pradesh; open to work; open to work, notice: 30d; title: Senior Software Engineer (ML)"
CAND_0036184,63,0.73915,"6.0yr Recommendation Systems Engineer at CRED; matched: QLoRA, FAISS, MLOps; based in Trivandrum, Kerala; open to work; open to work, notice: 30d"
CAND_0073314,64,0.7385,"5.2yr Senior Software Engineer (ML) at Aganitha; matched: PEFT, Milvus, Elasticsearch; based in Noida, Uttar Pradesh; open to work; open to work; title: Senior Software Engineer (ML)"
CAND_0074735,65,0.73805,"5.5yr Applied ML Engineer at Rephrase.ai; matched: RAG, Weaviate, Information Retrieval; based in Chandigarh, Chandigarh; open to work; open to work; title: Applied ML Engineer"
CAND_0029367,66,0.73754,"5.7yr Senior Data Scientist at Rephrase.ai; matched: QLoRA, FAISS, Sentence Transformers; based in Bangalore, Karnataka; open to work; open to work; title: Senior Data Scientist"
CAND_0093912,67,0.73611,"5.3yr Senior Data Scientist at Razorpay; matched: Milvus, Embeddings, Learning to Rank; based in Chandigarh, Chandigarh; open to work; open to work, notice: 30d; title: Senior Data Scientist"
CAND_0072660,68,0.73589,"7.1yr Machine Learning Engineer at Unacademy; matched: LoRA, PyTorch, Information Retrieval; based in Berlin; open to work; open to work, notice: 30d; title: Machine Learning Engineer"
CAND_0076251,69,0.73499,"7.6yr Search Engineer at Haptik; matched: Fine-tuning LLMs, Hugging Face Transformers, Weaviate; based in Bhubaneswar, Odisha; open to work; open to work; title: Search Engineer"
CAND_0010257,70,0.7348,"6.5yr Senior Data Scientist at Google; matched: Milvus, Python, OpenSearch; based in Noida, Uttar Pradesh; open to work; open to work, long notice: 120d; title: Senior Data Scientist"
CAND_0042029,71,0.73145,"6.5yr Senior Data Scientist at Flipkart; matched: PyTorch, NLP, RAG; based in Delhi, Delhi; title: Senior Data Scientist"
CAND_0036437,72,0.73104,"4.8yr Search Engineer at Rephrase.ai; matched: OpenSearch, Elasticsearch, Sentence Transformers; based in Kolkata, West Bengal; notice: 30d; title: Search Engineer"
CAND_0058688,73,0.7302,"6.7yr AI Engineer at Vedantu; matched: Embeddings, Information Retrieval, Milvus; based in Berlin; open to work; open to work, notice: 15d; title: AI Engineer"
CAND_0039383,74,0.72999,"7.1yr Applied ML Engineer at Meesho; matched: FAISS, Hugging Face Transformers, QLoRA; based in Gurgaon, Haryana; open to work; open to work; title: Applied ML Engineer"
CAND_0030946,75,0.72991,"6.7yr Junior ML Engineer at Yellow.ai; matched: Learning to Rank, Elasticsearch, OpenSearch; based in Mumbai, Maharashtra; open to work; open to work; title: Junior ML Engineer"
CAND_0093193,76,0.72494,"7.9yr Senior Machine Learning Engineer at Niramai; matched: Ranking Systems, Qdrant, OpenSearch; based in Bangalore, Karnataka; open to work; open to work; title: Senior Machine Learning Engineer"
CAND_0028422,77,0.72406,"5.5yr Junior ML Engineer at Yellow.ai; matched: Pinecone, OpenSearch, Learning to Rank; based in Chennai, Tamil Nadu; open to work; open to work; title: Junior ML Engineer"
CAND_0049538,78,0.72406,"5.8yr Applied ML Engineer at Saarthi.ai; matched: Learning to Rank, OpenSearch, Milvus; based in Jaipur, Rajasthan; notice: 30d; title: Applied ML Engineer"
CAND_0091909,79,0.72053,"6.9yr Machine Learning Engineer at Rephrase.ai; matched: LLMs, Pinecone, QLoRA; based in Bangalore, Karnataka; open to work; open to work; title: Machine Learning Engineer"
CAND_0075574,80,0.71996,"5.7yr Machine Learning Engineer at Haptik; matched: Hugging Face Transformers, Weaviate, OpenSearch; based in Bangalore, Karnataka; open to work; open to work; title: Machine Learning Engineer"
CAND_0030953,81,0.71736,"7.8yr Search Engineer at Nykaa; matched: MLOps, Learning to Rank, Qdrant; based in Chennai, Tamil Nadu; title: Search Engineer"
CAND_0020708,82,0.71641,"4.2yr Search Engineer at PolicyBazaar; matched: NLP, Learning to Rank, Python; based in Indore, Madhya Pradesh; open to work; open to work, notice: 30d; title: Search Engineer"
CAND_0053527,83,0.71596,"7.0yr Junior ML Engineer at PhonePe; matched: Pinecone, Qdrant, QLoRA; based in Bangalore, Karnataka; open to work; open to work; title: Junior ML Engineer"
CAND_0091890,84,0.71585,"4.7yr AI Research Engineer at Verloop.io; matched: Elasticsearch, Pinecone, OpenSearch; based in Hyderabad, Telangana; open to work; open to work; title: AI Research Engineer"
CAND_0047542,85,0.71472,"5.0yr Senior Software Engineer (ML) at Meesho; matched: Learning to Rank, Weaviate, Sentence Transformers; based in Chennai, Tamil Nadu; open to work; open to work; title: Senior Software Engineer (ML)"
CAND_0080766,86,0.71289,"8.8yr Staff Machine Learning Engineer at Salesforce; matched: LoRA, MLOps, Information Retrieval Systems; based in Coimbatore, Tamil Nadu; notice: 0d; title: Staff Machine Learning Engineer"
CAND_0030031,87,0.71158,"5.7yr AI Engineer at Microsoft; matched: Information Retrieval, PyTorch, Python; based in Trivandrum, Kerala; notice: 30d; title: AI Engineer"
CAND_0013393,88,0.71005,"5.3yr ML Engineer at Freshworks; matched: Embeddings, Pinecone, Qdrant; based in Bangalore, Karnataka; open to work; open to work; title: ML Engineer"
CAND_0075439,89,0.70919,"4.3yr Machine Learning Engineer at Flipkart; matched: Learning to Rank, LoRA, Elasticsearch; based in Vizag, Andhra Pradesh; notice: 30d; title: Machine Learning Engineer"
CAND_0037566,90,0.7081,"6.9yr Machine Learning Engineer at LinkedIn; matched: Pinecone, NLP, LoRA; based in Bangalore, Karnataka; open to work; open to work, notice: 15d; title: Machine Learning Engineer"
CAND_0007412,91,0.70763,"7.4yr Applied ML Engineer at Zoho; matched: Pinecone, Milvus, PyTorch; based in Noida, Uttar Pradesh; open to work; open to work, long notice: 120d; title: Applied ML Engineer"
CAND_0087630,92,0.70672,"7.2yr AI Engineer at Vedantu; matched: Elasticsearch, NLP, Learning to Rank; based in Gurgaon, Haryana; notice: 30d; title: AI Engineer"
CAND_0008239,93,0.70667,"4.0yr AI Engineer at Apple; matched: Milvus, Semantic Search, Elasticsearch; based in Jaipur, Rajasthan; open to work; open to work, notice: 15d; title: AI Engineer"
CAND_0066035,94,0.70663,"6.7yr Data Scientist at Razorpay; matched: Information Retrieval, NLP, Spark; based in Kolkata, West Bengal; open to work; open to work; title: Data Scientist"
CAND_0073982,95,0.70635,"7.0yr Data Scientist at Dream11; matched: Sentence Transformers, PEFT, Qdrant; based in Delhi, Delhi; open to work; open to work; title: Data Scientist"
CAND_0010685,96,0.70527,"6.7yr NLP Engineer at Rephrase.ai; matched: PyTorch, Information Retrieval, Elasticsearch; based in Kolkata, West Bengal; open to work; open to work, notice: 30d; title: NLP Engineer"
CAND_0051630,97,0.70426,"6.0yr Machine Learning Engineer at Razorpay; matched: Elasticsearch, Hugging Face Transformers, Embeddings; based in Kolkata, West Bengal; title: Machine Learning Engineer"
CAND_0010541,98,0.70335,"6.2yr AI Research Engineer at Wysa; matched: Pinecone, Weaviate, MLOps; based in Hyderabad, Telangana; open to work; open to work; title: AI Research Engineer"
CAND_0061655,99,0.70326,"4.6yr Machine Learning Engineer at Krutrim; matched: PEFT, Pinecone, PyTorch; based in Jaipur, Rajasthan; notice: 15d; title: Machine Learning Engineer"
CAND_0046353,100,0.70194,"6.4yr ML Engineer at Razorpay; matched: PyTorch, FAISS, Qdrant; based in Gurgaon, Haryana; open to work; open to work, long notice: 120d; title: ML Engineer"
